Identificacion;Sucursal;Ciudad;Tipo de cliente;Genero;Categoria;Precio unitario;Cantidad;Impuesto 5%;Total;Fecha;Hora;Metodo de pago;cogs;Porcentaje de margen bruto;Ingresos brutos;Clasificacion
012-33-1688;A;Naypyitaw;Miembro;Femenino;Deportes y viajes;20.01;2;2.0;42.02;28/01/2019;13:52;Dinero en efectivo;40.02;4.76;2.0;5.5
105-45-1707;C;Yangon;Normal;Masculino;Deportes y viajes;56.56;7;19.8;415.72;17/02/2019;10:30;Tarjeta de crédito;395.92;4.76;19.8;7.8
101-76-8575;B;Naypyitaw;Normal;Masculino;Accesorios electrónicos;93.72;6;28.12;590.44;08/02/2019;10:16;Dinero en efectivo;562.32;4.76;28.12;8.9
765-26-1852;A;Naypyitaw;Miembro;Femenino;Accesorios electrónicos;93.72;8;37.49;787.25;10/03/2019;18:53;Dinero en efectivo;749.76;4.76;37.49;4.3
562-20-4860;A;Mandalay;Miembro;Femenino;Accesorios electrónicos;58.24;6;17.47;366.91;26/03/2019;20:23;Tarjeta de crédito;349.44;4.76;17.47;7.3
621-54-7388;A;Yangon;Normal;Femenino;Accesorios de moda;24.31;1;1.22;25.53;13/01/2019;12:43;Tarjeta de crédito;24.31;4.78;1.22;5.5
708-70-6083;A;Naypyitaw;Normal;Femenino;Salud y belleza;35.38;9;15.92;334.34;20/01/2019;15:53;Tarjeta de crédito;318.42;4.76;15.92;4.3
354-16-3276;B;Naypyitaw;Miembro;Masculino;Comida y bebidas;18.11;1;0.91;19.02;27/01/2019;16:23;Tarjeta de crédito;18.11;4.78;0.91;8.5
325-13-0288;C;Naypyitaw;Normal;Femenino;Hogar y estilo de vida;86.68;8;34.67;728.11;09/03/2019;20:13;Tarjeta de crédito;693.44;4.76;34.67;4.4
832-26-6545;A;Yangon;Normal;Femenino;Salud y belleza;49.79;10;24.9;522.8;18/01/2019;17:04;Billetera electrónica;497.9;4.76;24.9;7.9
037-80-5804;A;Naypyitaw;Miembro;Femenino;Accesorios de moda;74.71;8;29.88;627.56;19/01/2019;13:34;Dinero en efectivo;597.68;4.76;29.88;6.9
576-53-7250;C;Yangon;Miembro;Femenino;Comida y bebidas;39.39;6;11.82;248.16;19/02/2019;19:30;Billetera electrónica;236.34;4.76;11.82;6.9
611-72-3117;A;Mandalay;Normal;Masculino;Salud y belleza;26.6;9;11.97;251.37;28/01/2019;11:39;Tarjeta de crédito;239.4;4.76;11.97;4.1
148-38-1050;A;Mandalay;Normal;Femenino;Hogar y estilo de vida;37.14;6;11.14;233.98;25/01/2019;12:52;Dinero en efectivo;222.84;4.76;11.14;9.5
614-76-0462;B;Yangon;Miembro;Masculino;Salud y belleza;56.53;10;28.26;593.56;09/01/2019;13:33;Dinero en efectivo;565.3;4.76;28.26;8.7
500-76-7377;C;Mandalay;Normal;Masculino;Comida y bebidas;67.26;9;30.27;635.61;15/03/2019;20:44;Billetera electrónica;605.34;4.76;30.27;6.2
431-70-2587;B;Yangon;Miembro;Masculino;Deportes y viajes;62.62;4;12.52;263.0;08/02/2019;18:58;Tarjeta de crédito;250.48;4.76;12.52;7.3
814-82-2276;A;Yangon;Miembro;Masculino;Deportes y viajes;75.74;10;37.87;795.27;05/01/2019;12:01;Billetera electrónica;757.4;4.76;37.87;4.9
811-12-2881;A;Mandalay;Miembro;Masculino;Deportes y viajes;72.17;8;28.87;606.23;03/01/2019;18:41;Tarjeta de crédito;577.36;4.76;28.87;4.5
538-13-6663;C;Naypyitaw;Normal;Masculino;Accesorios electrónicos;34.84;10;17.42;365.82;24/01/2019;20:13;Billetera electrónica;348.4;4.76;17.42;4.3
486-63-5837;B;Yangon;Normal;Femenino;Comida y bebidas;40.3;3;6.04;126.94;18/03/2019;11:46;Billetera electrónica;120.9;4.76;6.04;8.1
748-37-5041;B;Yangon;Miembro;Masculino;Hogar y estilo de vida;32.71;3;4.91;103.04;08/02/2019;12:41;Tarjeta de crédito;98.13;4.77;4.91;4.3
561-01-1132;C;Mandalay;Miembro;Masculino;Hogar y estilo de vida;97.74;8;39.1;821.02;20/03/2019;10:55;Dinero en efectivo;781.92;4.76;39.1;8.3
308-36-8861;B;Mandalay;Normal;Femenino;Accesorios de moda;81.01;2;8.1;170.12;04/01/2019;12:28;Tarjeta de crédito;162.02;4.76;8.1;8.8
036-61-2364;C;Yangon;Miembro;Masculino;Accesorios de moda;98.97;6;29.69;623.51;22/03/2019;19:30;Tarjeta de crédito;593.82;4.76;29.69;8.5
631-56-2646;C;Yangon;Miembro;Masculino;Comida y bebidas;71.68;8;28.67;602.11;26/02/2019;10:01;Dinero en efectivo;573.44;4.76;28.67;8.1
155-71-2770;C;Yangon;Miembro;Femenino;Deportes y viajes;17.48;3;2.62;55.06;13/02/2019;12:58;Dinero en efectivo;52.44;4.76;2.62;8.4
264-21-2583;C;Mandalay;Miembro;Masculino;Accesorios de moda;90.5;3;13.58;285.08;05/03/2019;10:43;Tarjeta de crédito;271.5;4.76;13.58;5.8
180-67-8005;C;Mandalay;Normal;Femenino;Deportes y viajes;16.31;6;4.89;102.75;02/02/2019;13:05;Billetera electrónica;97.86;4.76;4.89;6.7
115-50-2100;A;Naypyitaw;Normal;Masculino;Accesorios electrónicos;42.91;9;19.31;405.5;17/02/2019;18:02;Tarjeta de crédito;386.19;4.76;19.31;5.5
677-30-5715;C;Mandalay;Miembro;Femenino;Hogar y estilo de vida;33.98;2;3.4;71.36;27/01/2019;11:34;Dinero en efectivo;67.96;4.76;3.4;9.6
285-67-7844;A;Mandalay;Miembro;Femenino;Accesorios de moda;72.52;7;25.38;533.02;05/03/2019;15:48;Dinero en efectivo;507.64;4.76;25.38;9.7
080-73-3460;C;Yangon;Normal;Femenino;Salud y belleza;58.39;1;2.92;61.31;27/01/2019;16:23;Tarjeta de crédito;58.39;4.76;2.92;8.8
336-06-2038;A;Naypyitaw;Normal;Femenino;Accesorios electrónicos;96.7;2;9.67;203.07;05/03/2019;12:14;Tarjeta de crédito;193.4;4.76;9.67;9.1
703-20-7454;A;Mandalay;Normal;Femenino;Hogar y estilo de vida;82.93;1;4.15;87.08;11/03/2019;11:22;Billetera electrónica;82.93;4.77;4.15;9.4
727-63-7488;B;Mandalay;Normal;Femenino;Accesorios electrónicos;17.63;1;0.88;18.51;26/01/2019;11:46;Tarjeta de crédito;17.63;4.75;0.88;5.1
537-74-3158;A;Yangon;Normal;Femenino;Deportes y viajes;31.77;8;12.71;266.87;14/01/2019;11:26;Tarjeta de crédito;254.16;4.76;12.71;6.0
642-63-3810;C;Naypyitaw;Miembro;Masculino;Deportes y viajes;74.89;8;29.96;629.08;19/01/2019;16:43;Billetera electrónica;599.12;4.76;29.96;7.0
227-07-0437;C;Yangon;Normal;Masculino;Accesorios electrónicos;54.07;3;8.11;170.32;23/01/2019;14:25;Billetera electrónica;162.21;4.76;8.11;9.2
340-66-5380;C;Yangon;Miembro;Femenino;Comida y bebidas;97.29;10;48.65;1021.55;17/03/2019;16:19;Tarjeta de crédito;972.9;4.76;48.65;7.4
830-46-1415;C;Mandalay;Normal;Femenino;Comida y bebidas;43.19;8;17.28;362.8;25/02/2019;14:47;Billetera electrónica;345.52;4.76;17.28;5.1
604-45-4668;C;Naypyitaw;Miembro;Masculino;Hogar y estilo de vida;58.24;8;23.3;489.22;03/03/2019;18:56;Tarjeta de crédito;465.92;4.76;23.3;9.7
085-87-7383;A;Yangon;Normal;Femenino;Hogar y estilo de vida;51.89;4;10.38;217.94;24/03/2019;15:45;Dinero en efectivo;207.56;4.76;10.38;5.4
510-66-1114;B;Mandalay;Miembro;Masculino;Accesorios de moda;44.07;5;11.02;231.37;20/03/2019;16:46;Billetera electrónica;220.35;4.76;11.02;4.9
003-03-2132;B;Mandalay;Miembro;Femenino;Accesorios electrónicos;97.37;9;43.82;920.15;31/01/2019;12:01;Billetera electrónica;876.33;4.76;43.82;4.0
864-58-3331;A;Yangon;Normal;Femenino;Accesorios electrónicos;36.91;9;16.61;348.8;29/01/2019;14:04;Billetera electrónica;332.19;4.76;16.61;6.7
672-83-8330;A;Naypyitaw;Miembro;Femenino;Accesorios de moda;77.04;10;38.52;808.92;24/02/2019;19:48;Tarjeta de crédito;770.4;4.76;38.52;4.0
052-44-2582;A;Mandalay;Miembro;Femenino;Accesorios electrónicos;97.22;1;4.86;102.08;16/03/2019;19:05;Billetera electrónica;97.22;4.76;4.86;5.8
863-83-0466;B;Naypyitaw;Normal;Femenino;Salud y belleza;39.91;6;11.97;251.43;15/03/2019;19:01;Tarjeta de crédito;239.46;4.76;11.97;9.1
746-82-7542;A;Yangon;Miembro;Masculino;Hogar y estilo de vida;25.7;1;1.28;26.98;22/03/2019;10:25;Dinero en efectivo;25.7;4.74;1.28;4.9
825-08-4567;B;Yangon;Normal;Femenino;Accesorios electrónicos;48.63;4;9.73;204.25;02/01/2019;11:32;Tarjeta de crédito;194.52;4.76;9.73;4.3
221-00-4843;C;Yangon;Miembro;Femenino;Accesorios de moda;71.2;3;10.68;224.28;03/02/2019;13:58;Dinero en efectivo;213.6;4.76;10.68;8.3
847-51-7280;B;Naypyitaw;Normal;Femenino;Hogar y estilo de vida;22.38;10;11.19;234.99;14/03/2019;19:39;Dinero en efectivo;223.8;4.76;11.19;7.0
118-37-6703;A;Naypyitaw;Normal;Masculino;Accesorios de moda;72.88;4;14.58;306.1;30/01/2019;16:54;Tarjeta de crédito;291.52;4.76;14.58;8.2
645-75-8408;C;Naypyitaw;Miembro;Femenino;Salud y belleza;27.28;7;9.55;200.51;15/02/2019;20:38;Dinero en efectivo;190.96;4.76;9.55;9.9
526-26-6542;B;Naypyitaw;Normal;Femenino;Accesorios de moda;32.25;9;14.51;304.76;24/01/2019;16:19;Dinero en efectivo;290.25;4.76;14.51;9.8
671-04-1118;A;Mandalay;Normal;Masculino;Hogar y estilo de vida;99.82;8;39.93;838.49;14/01/2019;20:26;Dinero en efectivo;798.56;4.76;39.93;6.0
034-05-8323;B;Mandalay;Normal;Femenino;Deportes y viajes;48.96;2;4.9;102.82;07/02/2019;17:09;Dinero en efectivo;97.92;4.77;4.9;7.6
223-35-5213;C;Mandalay;Miembro;Femenino;Deportes y viajes;98.8;6;29.64;622.44;18/02/2019;13:01;Dinero en efectivo;592.8;4.76;29.64;5.5
776-08-0858;C;Mandalay;Normal;Masculino;Comida y bebidas;78.77;1;3.94;82.71;13/02/2019;16:20;Tarjeta de crédito;78.77;4.76;3.94;9.1
864-32-8408;C;Mandalay;Normal;Masculino;Hogar y estilo de vida;85.6;1;4.28;89.88;20/01/2019;13:29;Dinero en efectivo;85.6;4.76;4.28;5.0
885-87-4014;B;Yangon;Normal;Masculino;Accesorios de moda;66.65;8;26.66;559.86;25/01/2019;14:08;Billetera electrónica;533.2;4.76;26.66;6.1
257-34-2158;C;Mandalay;Miembro;Masculino;Hogar y estilo de vida;10.59;5;2.65;55.6;14/03/2019;15:40;Tarjeta de crédito;52.95;4.77;2.65;7.1
354-71-8473;A;Naypyitaw;Normal;Femenino;Comida y bebidas;18.22;2;1.82;38.26;03/02/2019;10:53;Tarjeta de crédito;36.44;4.76;1.82;7.4
152-15-1300;A;Yangon;Normal;Femenino;Salud y belleza;20.87;5;5.22;109.57;17/01/2019;12:25;Dinero en efectivo;104.35;4.76;5.22;4.9
277-08-2751;C;Mandalay;Miembro;Femenino;Accesorios electrónicos;23.07;5;5.77;121.12;12/03/2019;10:23;Dinero en efectivo;115.35;4.76;5.77;5.6
300-52-6420;C;Mandalay;Miembro;Masculino;Accesorios de moda;96.11;6;28.83;605.49;15/02/2019;16:19;Billetera electrónica;576.66;4.76;28.83;8.9
378-84-2663;B;Naypyitaw;Normal;Femenino;Accesorios de moda;60.87;4;12.17;255.65;14/01/2019;17:52;Billetera electrónica;243.48;4.76;12.17;7.0
712-24-8335;A;Naypyitaw;Normal;Femenino;Accesorios de moda;25.43;1;1.27;26.7;03/03/2019;13:49;Billetera electrónica;25.43;4.76;1.27;9.6
875-76-6000;C;Yangon;Miembro;Masculino;Hogar y estilo de vida;72.61;6;21.78;457.44;13/03/2019;20:03;Dinero en efectivo;435.66;4.76;21.78;4.3
377-78-4737;A;Mandalay;Normal;Masculino;Comida y bebidas;23.82;4;4.76;100.04;09/02/2019;14:16;Tarjeta de crédito;95.28;4.76;4.76;4.1
057-55-7284;A;Naypyitaw;Miembro;Femenino;Salud y belleza;54.36;8;21.74;456.62;03/03/2019;10:12;Dinero en efectivo;434.88;4.76;21.74;10.0
217-05-5338;B;Naypyitaw;Normal;Masculino;Accesorios de moda;91.41;9;41.13;863.82;02/01/2019;13:22;Tarjeta de crédito;822.69;4.76;41.13;7.8
184-23-8632;C;Yangon;Normal;Femenino;Accesorios de moda;19.15;2;1.92;40.22;27/01/2019;16:24;Billetera electrónica;38.3;4.77;1.92;7.6
507-31-1533;A;Mandalay;Normal;Femenino;Salud y belleza;58.76;1;2.94;61.7;29/03/2019;18:20;Dinero en efectivo;58.76;4.76;2.94;7.2
105-87-0423;B;Naypyitaw;Miembro;Masculino;Accesorios de moda;66.35;3;9.95;209.0;23/03/2019;11:24;Tarjeta de crédito;199.05;4.76;9.95;5.8
051-27-0008;C;Yangon;Miembro;Masculino;Deportes y viajes;60.95;6;18.29;383.99;21/01/2019;18:41;Dinero en efectivo;365.7;4.76;18.29;9.0
782-23-4458;B;Yangon;Miembro;Femenino;Comida y bebidas;39.43;9;17.74;372.61;23/02/2019;15:31;Tarjeta de crédito;354.87;4.76;17.74;5.6
204-13-3373;B;Yangon;Miembro;Femenino;Deportes y viajes;32.8;10;16.4;344.4;11/02/2019;19:49;Billetera electrónica;328.0;4.76;16.4;6.0
266-88-7555;C;Yangon;Miembro;Masculino;Salud y belleza;22.32;5;5.58;117.18;07/02/2019;12:28;Dinero en efectivo;111.6;4.76;5.58;7.4
251-43-3657;A;Yangon;Normal;Femenino;Deportes y viajes;68.71;6;20.61;432.87;15/02/2019;13:06;Billetera electrónica;412.26;4.76;20.61;6.9
036-86-5385;A;Mandalay;Normal;Masculino;Salud y belleza;91.3;9;41.08;862.78;06/02/2019;11:36;Billetera electrónica;821.7;4.76;41.08;6.2
714-44-7414;A;Mandalay;Normal;Femenino;Comida y bebidas;95.49;10;47.74;1002.64;23/01/2019;13:34;Dinero en efectivo;954.9;4.76;47.74;7.0
742-80-5425;B;Naypyitaw;Miembro;Masculino;Accesorios de moda;24.74;5;6.18;129.88;18/03/2019;15:12;Dinero en efectivo;123.7;4.76;6.18;4.5
741-70-3440;C;Yangon;Normal;Femenino;Comida y bebidas;10.53;9;4.74;99.51;18/02/2019;15:49;Billetera electrónica;94.77;4.76;4.74;8.8
058-42-6504;A;Mandalay;Miembro;Masculino;Accesorios electrónicos;24.74;7;8.66;181.84;14/03/2019;11:26;Billetera electrónica;173.18;4.76;8.66;9.5
743-42-7730;B;Mandalay;Normal;Masculino;Accesorios electrónicos;60.87;1;3.04;63.91;08/02/2019;20:59;Billetera electrónica;60.87;4.76;3.04;6.7
787-83-6267;A;Yangon;Miembro;Masculino;Accesorios electrónicos;98.8;4;19.76;414.96;13/01/2019;13:34;Billetera electrónica;395.2;4.76;19.76;6.4
184-84-4761;C;Mandalay;Miembro;Masculino;Comida y bebidas;31.99;2;3.2;67.18;01/01/2019;12:07;Billetera electrónica;63.98;4.76;3.2;8.8
280-14-0547;A;Yangon;Normal;Masculino;Accesorios electrónicos;99.83;6;29.95;628.93;18/01/2019;17:22;Dinero en efectivo;598.98;4.76;29.95;9.7
058-16-2087;A;Yangon;Miembro;Femenino;Accesorios electrónicos;11.85;6;3.56;74.66;28/02/2019;20:08;Dinero en efectivo;71.1;4.77;3.56;6.7
210-58-7852;C;Naypyitaw;Miembro;Masculino;Deportes y viajes;24.89;7;8.71;182.94;16/01/2019;14:19;Billetera electrónica;174.23;4.76;8.71;8.3
545-21-4500;C;Mandalay;Normal;Masculino;Salud y belleza;81.21;10;40.6;852.7;09/02/2019;14:35;Billetera electrónica;812.1;4.76;40.6;9.3
645-87-6423;C;Naypyitaw;Normal;Masculino;Accesorios electrónicos;62.65;10;31.33;657.83;13/01/2019;13:51;Billetera electrónica;626.5;4.76;31.33;6.1
376-17-0453;A;Mandalay;Miembro;Masculino;Comida y bebidas;58.03;5;14.51;304.66;09/02/2019;14:33;Billetera electrónica;290.15;4.76;14.51;7.9
157-13-4765;A;Mandalay;Normal;Femenino;Salud y belleza;51.71;6;15.51;325.77;09/01/2019;11:46;Billetera electrónica;310.26;4.76;15.51;7.2
445-88-7586;A;Naypyitaw;Normal;Masculino;Hogar y estilo de vida;85.98;3;12.9;270.84;15/02/2019;11:27;Billetera electrónica;257.94;4.76;12.9;4.6
610-61-8170;A;Yangon;Normal;Femenino;Comida y bebidas;18.93;8;7.57;159.01;30/03/2019;20:30;Dinero en efectivo;151.44;4.76;7.57;4.2
314-08-0758;A;Naypyitaw;Miembro;Femenino;Salud y belleza;37.0;1;1.85;38.85;28/01/2019;11:00;Billetera electrónica;37.0;4.76;1.85;9.1
341-35-8387;C;Yangon;Normal;Masculino;Comida y bebidas;44.63;1;2.23;46.86;12/02/2019;18:50;Tarjeta de crédito;44.63;4.76;2.23;7.0
803-12-3528;A;Naypyitaw;Miembro;Femenino;Comida y bebidas;27.38;3;4.11;86.25;23/03/2019;10:57;Billetera electrónica;82.14;4.77;4.11;8.8
137-66-7374;B;Yangon;Normal;Masculino;Accesorios electrónicos;40.3;9;18.14;380.84;06/02/2019;11:15;Dinero en efectivo;362.7;4.76;18.14;8.0
050-38-4372;C;Mandalay;Normal;Femenino;Comida y bebidas;52.42;10;26.21;550.41;10/02/2019;12:50;Tarjeta de crédito;524.2;4.76;26.21;7.6
638-28-5144;A;Yangon;Miembro;Masculino;Hogar y estilo de vida;60.47;5;15.12;317.47;17/02/2019;14:08;Tarjeta de crédito;302.35;4.76;15.12;6.6
083-05-0730;C;Yangon;Normal;Femenino;Accesorios de moda;72.88;8;29.15;612.19;31/01/2019;17:44;Billetera electrónica;583.04;4.76;29.15;5.0
288-63-1311;A;Mandalay;Normal;Masculino;Hogar y estilo de vida;58.24;4;11.65;244.61;08/02/2019;18:33;Dinero en efectivo;232.96;4.76;11.65;9.8
546-78-1625;B;Mandalay;Miembro;Femenino;Hogar y estilo de vida;24.74;4;4.95;103.91;24/01/2019;13:11;Tarjeta de crédito;98.96;4.76;4.95;9.1
835-86-8748;C;Yangon;Miembro;Masculino;Hogar y estilo de vida;91.35;2;9.14;191.84;22/02/2019;18:43;Billetera electrónica;182.7;4.76;9.14;8.9
005-63-3226;C;Naypyitaw;Miembro;Femenino;Salud y belleza;37.06;1;1.85;38.91;03/03/2019;14:24;Tarjeta de crédito;37.06;4.75;1.85;5.2
738-72-1642;B;Yangon;Miembro;Masculino;Comida y bebidas;77.04;1;3.85;80.89;12/01/2019;14:19;Billetera electrónica;77.04;4.76;3.85;4.8
125-68-3616;A;Mandalay;Miembro;Femenino;Accesorios de moda;46.61;1;2.33;48.94;08/02/2019;19:09;Tarjeta de crédito;46.61;4.76;2.33;8.0
422-85-0657;C;Naypyitaw;Normal;Masculino;Accesorios electrónicos;71.63;1;3.58;75.21;27/01/2019;19:50;Billetera electrónica;71.63;4.76;3.58;4.7
713-04-5747;A;Yangon;Miembro;Femenino;Accesorios de moda;45.79;1;2.29;48.08;27/03/2019;13:12;Tarjeta de crédito;45.79;4.76;2.29;5.5
481-04-0325;A;Mandalay;Miembro;Masculino;Hogar y estilo de vida;26.43;2;2.64;55.5;22/02/2019;17:03;Billetera electrónica;52.86;4.76;2.64;9.1
052-10-0657;C;Naypyitaw;Miembro;Femenino;Hogar y estilo de vida;49.33;2;4.93;103.59;12/01/2019;10:18;Billetera electrónica;98.66;4.76;4.93;6.6
146-46-8555;A;Naypyitaw;Normal;Masculino;Salud y belleza;40.35;6;12.11;254.21;14/01/2019;17:43;Tarjeta de crédito;242.1;4.76;12.11;5.0
030-14-8476;A;Mandalay;Normal;Masculino;Accesorios electrónicos;71.77;3;10.77;226.08;01/03/2019;13:01;Billetera electrónica;215.31;4.76;10.77;8.1
177-53-3811;B;Mandalay;Miembro;Femenino;Hogar y estilo de vida;58.26;2;5.83;122.35;05/02/2019;16:52;Tarjeta de crédito;116.52;4.77;5.83;7.1
567-17-4156;A;Naypyitaw;Miembro;Masculino;Accesorios de moda;63.91;4;12.78;268.42;30/03/2019;14:45;Tarjeta de crédito;255.64;4.76;12.78;4.8
037-48-3311;A;Naypyitaw;Miembro;Femenino;Comida y bebidas;71.92;8;28.77;604.13;23/02/2019;19:09;Billetera electrónica;575.36;4.76;28.77;7.2
511-33-4013;A;Mandalay;Miembro;Masculino;Accesorios electrónicos;28.96;2;2.9;60.82;07/02/2019;12:07;Dinero en efectivo;57.92;4.77;2.9;9.0
184-38-7076;C;Naypyitaw;Normal;Masculino;Deportes y viajes;84.05;10;42.03;882.53;08/02/2019;15:10;Tarjeta de crédito;840.5;4.76;42.03;6.8
823-20-6435;C;Yangon;Miembro;Femenino;Accesorios electrónicos;55.87;1;2.79;58.66;23/02/2019;10:25;Dinero en efectivo;55.87;4.76;2.79;7.8
033-35-1713;C;Yangon;Normal;Masculino;Deportes y viajes;47.67;6;14.3;300.32;08/03/2019;20:30;Tarjeta de crédito;286.02;4.76;14.3;4.5
061-78-1433;B;Naypyitaw;Normal;Femenino;Hogar y estilo de vida;55.67;4;11.13;233.81;10/01/2019;12:43;Dinero en efectivo;222.68;4.76;11.13;9.1
566-26-6172;B;Mandalay;Miembro;Masculino;Salud y belleza;69.37;8;27.75;582.71;28/02/2019;18:19;Dinero en efectivo;554.96;4.76;27.75;7.9
547-47-4603;A;Naypyitaw;Normal;Femenino;Salud y belleza;66.47;1;3.32;69.79;19/02/2019;14:26;Billetera electrónica;66.47;4.76;3.32;9.3
171-60-4165;C;Mandalay;Miembro;Femenino;Deportes y viajes;10.99;4;2.2;46.16;16/01/2019;20:54;Billetera electrónica;43.96;4.77;2.2;4.1
326-82-6808;A;Mandalay;Miembro;Femenino;Deportes y viajes;91.3;1;4.57;95.87;07/03/2019;10:23;Dinero en efectivo;91.3;4.77;4.57;8.8
252-34-6835;B;Naypyitaw;Miembro;Femenino;Deportes y viajes;27.02;9;12.16;255.34;07/03/2019;19:30;Billetera electrónica;243.18;4.76;12.16;9.9
367-52-8507;A;Naypyitaw;Miembro;Femenino;Comida y bebidas;11.85;10;5.93;124.43;25/01/2019;10:48;Dinero en efectivo;118.5;4.77;5.93;5.7
357-54-2803;A;Mandalay;Miembro;Masculino;Accesorios electrónicos;75.88;7;26.56;557.72;09/03/2019;20:01;Billetera electrónica;531.16;4.76;26.56;8.1
508-76-3053;A;Mandalay;Normal;Masculino;Comida y bebidas;70.99;9;31.95;670.86;13/02/2019;11:44;Dinero en efectivo;638.91;4.76;31.95;6.8
850-77-8580;A;Mandalay;Miembro;Masculino;Deportes y viajes;76.06;8;30.42;638.9;01/03/2019;12:45;Billetera electrónica;608.48;4.76;30.42;5.6
351-55-2051;C;Naypyitaw;Miembro;Femenino;Accesorios de moda;92.98;7;32.54;683.4;13/01/2019;12:52;Dinero en efectivo;650.86;4.76;32.54;9.7
306-71-1641;B;Yangon;Normal;Masculino;Hogar y estilo de vida;77.93;3;11.69;245.48;20/01/2019;15:48;Tarjeta de crédito;233.79;4.76;11.69;5.7
252-03-6637;C;Yangon;Miembro;Femenino;Accesorios electrónicos;89.48;8;35.79;751.63;23/02/2019;19:51;Tarjeta de crédito;715.84;4.76;35.79;8.3
024-87-6158;A;Yangon;Normal;Masculino;Accesorios electrónicos;90.7;4;18.14;380.94;02/03/2019;14:42;Tarjeta de crédito;362.8;4.76;18.14;6.2
583-55-6718;C;Naypyitaw;Miembro;Femenino;Hogar y estilo de vida;14.39;10;7.2;151.1;07/01/2019;19:38;Billetera electrónica;143.9;4.77;7.2;7.8
633-45-8875;B;Mandalay;Miembro;Masculino;Comida y bebidas;47.63;10;23.82;500.12;07/02/2019;17:11;Billetera electrónica;476.3;4.76;23.82;7.3
361-38-6627;C;Yangon;Miembro;Masculino;Hogar y estilo de vida;94.87;10;47.44;996.14;26/01/2019;19:14;Billetera electrónica;948.7;4.76;47.44;7.4
186-67-0445;B;Yangon;Normal;Femenino;Accesorios de moda;27.0;2;2.7;56.7;03/01/2019;10:23;Dinero en efectivo;54.0;4.76;2.7;8.5
464-27-6804;C;Naypyitaw;Normal;Femenino;Salud y belleza;28.96;6;8.69;182.45;25/01/2019;15:56;Dinero en efectivo;173.76;4.76;8.69;8.2
557-71-1803;C;Naypyitaw;Normal;Masculino;Salud y belleza;81.68;6;24.5;514.58;07/03/2019;20:04;Dinero en efectivo;490.08;4.76;24.5;5.7
703-81-7347;B;Mandalay;Miembro;Femenino;Salud y belleza;57.27;2;5.73;120.27;08/03/2019;18:24;Dinero en efectivo;114.54;4.76;5.73;4.1
421-46-3401;A;Yangon;Miembro;Femenino;Comida y bebidas;95.44;8;38.18;801.7;06/02/2019;18:38;Billetera electrónica;763.52;4.76;38.18;8.4
072-13-7568;A;Yangon;Miembro;Femenino;Deportes y viajes;91.61;6;27.48;577.14;10/01/2019;15:29;Billetera electrónica;549.66;4.76;27.48;8.7
211-30-5286;C;Yangon;Miembro;Femenino;Comida y bebidas;16.67;4;3.33;70.01;07/02/2019;14:31;Dinero en efectivo;66.68;4.76;3.33;4.7
375-77-4374;C;Mandalay;Miembro;Femenino;Salud y belleza;26.48;5;6.62;139.02;22/02/2019;10:33;Tarjeta de crédito;132.4;4.76;6.62;7.0
586-31-1186;C;Yangon;Miembro;Masculino;Salud y belleza;31.77;9;14.3;300.23;29/01/2019;17:03;Dinero en efectivo;285.93;4.76;14.3;9.0
356-65-4035;C;Mandalay;Miembro;Femenino;Salud y belleza;56.47;1;2.82;59.29;09/01/2019;12:04;Dinero en efectivo;56.47;4.76;2.82;5.5
382-67-3551;A;Naypyitaw;Normal;Femenino;Accesorios de moda;86.13;9;38.76;813.93;16/03/2019;10:37;Dinero en efectivo;775.17;4.76;38.76;5.5
058-02-8324;B;Naypyitaw;Miembro;Masculino;Accesorios de moda;16.37;5;4.09;85.94;02/02/2019;18:09;Tarjeta de crédito;81.85;4.76;4.09;7.7
101-73-3057;B;Yangon;Miembro;Femenino;Accesorios electrónicos;54.73;5;13.68;287.33;24/02/2019;19:31;Billetera electrónica;273.65;4.76;13.68;8.2
141-77-3845;B;Naypyitaw;Normal;Masculino;Deportes y viajes;47.27;1;2.36;49.63;08/01/2019;16:40;Dinero en efectivo;47.27;4.76;2.36;8.8
771-55-2325;C;Yangon;Miembro;Masculino;Comida y bebidas;62.62;6;18.79;394.51;19/03/2019;15:10;Dinero en efectivo;375.72;4.76;18.79;6.0
513-17-8110;A;Naypyitaw;Normal;Femenino;Comida y bebidas;34.7;3;5.21;109.31;13/02/2019;10:23;Billetera electrónica;104.1;4.77;5.21;7.0
510-02-2764;A;Mandalay;Normal;Femenino;Accesorios electrónicos;21.58;10;10.79;226.59;07/02/2019;19:48;Billetera electrónica;215.8;4.76;10.79;8.8
063-06-6663;B;Yangon;Miembro;Masculino;Comida y bebidas;12.1;10;6.05;127.05;23/01/2019;17:11;Tarjeta de crédito;121.0;4.76;6.05;6.1
786-20-0663;B;Naypyitaw;Miembro;Femenino;Accesorios de moda;12.73;4;2.55;53.47;09/02/2019;14:53;Tarjeta de crédito;50.92;4.77;2.55;7.2
178-63-7882;C;Naypyitaw;Normal;Femenino;Hogar y estilo de vida;91.41;3;13.71;287.94;08/02/2019;19:17;Billetera electrónica;274.23;4.76;13.71;7.0
557-32-1148;B;Mandalay;Miembro;Masculino;Deportes y viajes;75.82;7;26.54;557.28;24/01/2019;13:42;Dinero en efectivo;530.74;4.76;26.54;5.5
